Symbol,Name,Sector,Industry,Summary Quote
AME,"AMTEK, Inc.",Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/ame
AFSI^A,"AmTrust Financial Services, Inc.",n/a,n/a,http://www.nasdaq.com/symbol/afsi^a
AFSI^B,"AmTrust Financial Services, Inc.",n/a,n/a,http://www.nasdaq.com/symbol/afsi^b
AFSI^C,"AmTrust Financial Services, Inc.",n/a,n/a,http://www.nasdaq.com/symbol/afsi^c
AFSI^D,"AmTrust Financial Services, Inc.",n/a,n/a,http://www.nasdaq.com/symbol/afsi^d
AFSI^E,"AmTrust Financial Services, Inc.",n/a,n/a,http://www.nasdaq.com/symbol/afsi^e
AFSI^F,"AmTrust Financial Services, Inc.",n/a,n/a,http://www.nasdaq.com/symbol/afsi^f
AFSS,"AmTrust Financial Services, Inc.",Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afss
AFST,"AmTrust Financial Services, Inc.",Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afst
AEUA,Anadarko Petroleum Corporation,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aeua
APC,Anadarko Petroleum Corporation,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apc
AU,AngloGold Ashanti Limited,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/au
BUD,Anheuser-Busch Inbev SA,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/bud
AXE,Anixter International Inc.,Consumer Non-Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/axe
NLY,Annaly Capital Management Inc,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/nly
NLY^A,Annaly Capital Management Inc,n/a,n/a,http://www.nasdaq.com/symbol/nly^a
NLY^C,Annaly Capital Management Inc,n/a,n/a,http://www.nasdaq.com/symbol/nly^c
NLY^D,Annaly Capital Management Inc,n/a,n/a,http://www.nasdaq.com/symbol/nly^d
NLY^E,Annaly Capital Management Inc,n/a,n/a,http://www.nasdaq.com/symbol/nly^e
AM,Antero Midstream Partners LP,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/am
AR,Antero Resources Corporation,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ar
ANTM,"Anthem, Inc.",Health Care,Medical Specialities,http://www.nasdaq.com/symbol/antm
ANTX,"Anthem, Inc.",Health Care,Medical Specialities,http://www.nasdaq.com/symbol/antx
ANH,Anworth Mortgage Asset  Corporation,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/anh
ANH^A,Anworth Mortgage Asset  Corporation,n/a,n/a,http://www.nasdaq.com/symbol/anh^a
ANH^B,Anworth Mortgage Asset  Corporation,n/a,n/a,http://www.nasdaq.com/symbol/anh^b
ANH^C,Anworth Mortgage Asset  Corporation,n/a,n/a,http://www.nasdaq.com/symbol/anh^c
AON,Aon plc,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/aon
APA,Apache Corporation,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apa
AIV,Apartment Investment and Management Company,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiv
AIV^A,Apartment Investment and Management Company,n/a,n/a,http://www.nasdaq.com/symbol/aiv^a
ARI,Apollo Commercial Real Estate Finance,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ari
ARI^A,Apollo Commercial Real Estate Finance,n/a,n/a,http://www.nasdaq.com/symbol/ari^a
ARI^C,Apollo Commercial Real Estate Finance,n/a,n/a,http://www.nasdaq.com/symbol/ari^c
APO,"Apollo Global Management, LLC",Finance,Investment Managers,http://www.nasdaq.com/symbol/apo
AIB,Apollo Investment Corporation,n/a,n/a,http://www.nasdaq.com/symbol/aib
AIY,Apollo Investment Corporation,n/a,n/a,http://www.nasdaq.com/symbol/aiy
AFT,Apollo Senior Floating Rate Fund Inc.,n/a,n/a,http://www.nasdaq.com/symbol/aft
AIF,Apollo Tactical Income Fund Inc.,n/a,n/a,http://www.nasdaq.com/symbol/aif
APLE,"Apple Hospitality REIT, Inc.",Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aple
AIT,"Applied Industrial Technologies, Inc.",Consumer Durables,Industrial Specialties,http://www.nasdaq.com/symbol/ait
ATR,"AptarGroup, Inc.",Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/atr
WTR,"Aqua America, Inc.",Public Utilities,Water Supply,http://www.nasdaq.com/symbol/wtr
WAAS,AquaVenture Holdings Limited,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/waas
ARMK,Aramark,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/armk
ABR,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/abr
ABR^A,Arbor Realty Trust,n/a,n/a,http://www.nasdaq.com/symbol/abr^a
ABR^B,Arbor Realty Trust,n/a,n/a,http://www.nasdaq.com/symbol/abr^b
ABR^C,Arbor Realty Trust,n/a,n/a,http://www.nasdaq.com/symbol/abr^c
ABRN,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/abrn
ARC,"ARC Document Solutions, Inc.",Consumer Services,Professional Services,http://www.nasdaq.com/symbol/arc
ARCX,Arc Logistic Partners LP,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/arcx
MT,ArcelorMittal,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/mt
ARH^C,Arch Capital Group Ltd.,n/a,n/a,http://www.nasdaq.com/symbol/arh^c
ARCH,"Arch Coal, Inc.",Energy,Coal Mining,http://www.nasdaq.com/symbol/arch
ADM,Archer-Daniels-Midland Company,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/adm
AROC,"Archrock, Inc.",Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/aroc
ARNC,Arconic Inc.,n/a,n/a,http://www.nasdaq.com/symbol/arnc
ARNC^B,Arconic Inc.,n/a,n/a,http://www.nasdaq.com/symbol/arnc^b
ARCO,Arcos Dorados Holdings Inc.,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/arco
ASC,Ardmore Shipping Corporation,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/asc
AFC,Ares Capital Corporation,n/a,n/a,http://www.nasdaq.com/symbol/afc
ARU,Ares Capital Corporation,n/a,n/a,http://www.nasdaq.com/symbol/aru
ACRE,Ares Commercial Real Estate Corporation,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/acre
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",n/a,n/a,http://www.nasdaq.com/symbol/ardc
ARES,Ares Management L.P.,Finance,Investment Managers,http://www.nasdaq.com/symbol/ares
ARES^A,Ares Management L.P.,n/a,n/a,http://www.nasdaq.com/symbol/ares^a
AGX,"Argan, Inc.",Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/agx
ANET,"Arista Networks, Inc.",Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/anet
AI,Arlington Asset Investment Corp,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/ai
AIC,Arlington Asset Investment Corp,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/aic
AIW,Arlington Asset Investment Corp,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/aiw
AHH,"Armada Hoffler Properties, Inc.",Finance,Real Estate,http://www.nasdaq.com/symbol/ahh
ARR,"ARMOUR Residential REIT, Inc.",Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/arr
ARR^A,"ARMOUR Residential REIT, Inc.",n/a,n/a,http://www.nasdaq.com/symbol/arr^a
ARR^B,"ARMOUR Residential REIT, Inc.",n/a,n/a,http://www.nasdaq.com/symbol/arr^b
AFI,"Armstrong Flooring, Inc.",Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/afi
AWI,Armstrong World Industries Inc,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/awi
ARW,"Arrow Electronics, Inc.",Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/arw
AJG,Arthur J. Gallagher & Co.,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/ajg
APAM,Artisan Partners Asset Management Inc.,Finance,Investment Managers,http://www.nasdaq.com/symbol/apam
ASA,ASA Gold and Precious Metals Limited,n/a,n/a,http://www.nasdaq.com/symbol/asa
